138000,7.65E-12
138300,7.69E-12
138600,7.73E-12
138900,7.76E-12
139200,7.80E-12
139500,7.83E-12
139800,7.87E-12
140100,7.91E-12
140400,7.94E-12
140700,7.98E-12
141000,8.02E-12
141300,8.06E-12
141600,8.09E-12
141900,8.13E-12
142200,8.17E-12
142500,8.21E-12
142800,8.24E-12
143100,8.28E-12
143400,8.32E-12
143700,8.36E-12
144000,8.39E-12
144300,8.43E-12
144600,8.47E-12
144900,8.51E-12
145200,8.55E-12
145500,8.59E-12
145800,8.63E-12
146100,8.66E-12
146400,8.70E-12
146700,8.74E-12
147000,8.78E-12
147300,8.82E-12
147600,8.86E-12
147900,8.90E-12
148200,8.94E-12
148500,8.98E-12
148800,9.02E-12
149100,9.06E-12
149400,9.10E-12
149700,9.14E-12
150000,9.18E-12
150300,9.22E-12
150600,9.26E-12
150900,9.30E-12
151200,9.34E-12
151500,9.38E-12
151800,9.42E-12
152100,9.46E-12
152400,9.50E-12
152700,9.55E-12
153000,9.59E-12
153300,9.63E-12
153600,9.67E-12
153900,9.71E-12
154200,9.75E-12
154500,9.80E-12
154800,9.84E-12
155100,9.88E-12
155400,9.92E-12
155700,9.96E-12
156000,1.00E-11
156300,1.00E-11
156600,1.01E-11
156900,1.01E-11
157200,1.02E-11
157500,1.02E-11
157800,1.03E-11
158100,1.03E-11
158400,1.04E-11
158700,1.04E-11
159000,1.04E-11
159300,1.05E-11
159600,1.05E-11
159900,1.06E-11
160200,1.06E-11
160500,1.07E-11
160800,1.07E-11
161100,1.07E-11
161400,1.08E-11
161700,1.08E-11
162000,1.09E-11
162300,1.09E-11
162600,1.10E-11
162900,1.10E-11
163200,1.11E-11
163500,1.11E-11
163800,1.12E-11
164100,1.12E-11
164400,1.12E-11
164700,1.13E-11
165000,1.13E-11
165300,1.14E-11
165600,1.14E-11
165900,1.15E-11
166200,1.15E-11
166500,1.16E-11
166800,1.16E-11
167100,1.17E-11
167400,1.17E-11
167700,1.18E-11
168000,1.18E-11
168300,1.19E-11
168600,1.19E-11
168900,1.19E-11
169200,1.20E-11
169500,1.20E-11
169800,1.21E-11
170100,1.21E-11
170400,1.22E-11
170700,1.22E-11
171000,1.23E-11
171300,1.23E-11
171600,1.24E-11
171900,1.24E-11
172200,1.25E-11
172500,1.25E-11
172800,1.26E-11
173100,1.26E-11
173400,1.27E-11
173700,1.27E-11
174000,1.28E-11
174300,1.28E-11
174600,1.29E-11
174900,1.29E-11
175200,1.30E-11
175500,1.30E-11
175800,1.31E-11
176100,1.31E-11
176400,1.32E-11
176700,1.32E-11
177000,1.33E-11
177300,1.33E-11
177600,1.34E-11
177900,1.34E-11
178200,1.35E-11
178500,1.35E-11
178800,1.36E-11
179100,1.36E-11
179400,1.37E-11
179700,1.37E-11
180000,1.38E-11
180300,1.38E-11
180600,1.39E-11
180900,1.40E-11
181200,1.40E-11
181500,1.41E-11
181800,1.41E-11
182100,1.42E-11
182400,1.42E-11
182700,1.43E-11
183000,1.43E-11
183300,1.44E-11
183600,1.44E-11
183900,1.45E-11
184200,1.45E-11
184500,1.46E-11
184800,1.47E-11
185100,1.47E-11
185400,1.48E-11
185700,1.48E-11
186000,1.49E-11
186300,1.49E-11
186600,1.50E-11
186900,1.50E-11
187200,1.51E-11
187500,1.51E-11
187800,1.52E-11
188100,1.53E-11
188400,1.53E-11
188700,1.54E-11
189000,1.54E-11
189300,1.55E-11
189600,1.55E-11
